UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 06:15 ?        00:00:11 /sbin/init splash
root           2       0  0 06:15 ?        00:00:00 [kthreadd]
root           3       2  0 06:15 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 06:15 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 06:15 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 06:15 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 06:15 ?        00:00:00 [kworker/R-netns]
root          12       2  0 06:15 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 06:15 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 06:15 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 06:15 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 06:15 ?        00:00:06 [ksoftirqd/0]
root          17       2  0 06:15 ?        00:00:04 [rcu_preempt]
root          18       2  0 06:15 ?        00:00:00 [migration/0]
root          19       2  0 06:15 ?        00:00:00 [idle_inject/0]
root          20       2  0 06:15 ?        00:00:00 [cpuhp/0]
root          21       2  0 06:15 ?        00:00:00 [kdevtmpfs]
root          22       2  0 06:15 ?        00:00:00 [kworker/R-inet_]
root          24       2  0 06:15 ?        00:00:00 [kauditd]
root          25       2  0 06:15 ?        00:00:00 [khungtaskd]
root          26       2  0 06:15 ?        00:00:00 [oom_reaper]
root          27       2  0 06:15 ?        00:00:00 [kworker/R-write]
root          28       2  0 06:15 ?        00:00:03 [kcompactd0]
root          29       2  0 06:15 ?        00:00:00 [ksmd]
root          30       2  0 06:15 ?        00:00:00 [khugepaged]
root          31       2  0 06:15 ?        00:00:00 [kworker/R-kinte]
root          32       2  0 06:15 ?        00:00:00 [kworker/R-kbloc]
root          33       2  0 06:15 ?        00:00:00 [kworker/R-blkcg]
root          34       2  0 06:15 ?        00:00:00 [irq/9-acpi]
root          36       2  0 06:15 ?        00:00:00 [kworker/R-tpm_d]
root          37       2  0 06:15 ?        00:00:00 [kworker/R-ata_s]
root          38       2  0 06:15 ?        00:00:00 [kworker/R-md]
root          39       2  0 06:15 ?        00:00:00 [kworker/R-md_bi]
root          40       2  0 06:15 ?        00:00:00 [kworker/R-edac-]
root          41       2  0 06:15 ?        00:00:00 [kworker/R-devfr]
root          42       2  0 06:15 ?        00:00:00 [watchdogd]
root          44       2  0 06:15 ?        00:00:01 [kswapd0]
root          45       2  0 06:15 ?        00:00:00 [ecryptfs-kthread]
root          46       2  0 06:15 ?        00:00:00 [kworker/R-kthro]
root          47       2  0 06:15 ?        00:00:00 [kworker/R-acpi_]
root          48       2  0 06:15 ?        00:00:00 [scsi_eh_0]
root          49       2  0 06:15 ?        00:00:00 [kworker/R-scsi_]
root          50       2  0 06:15 ?        00:00:00 [scsi_eh_1]
root          51       2  0 06:15 ?        00:00:00 [kworker/R-scsi_]
root          55       2  0 06:15 ?        00:00:00 [kworker/R-mld]
root          56       2  0 06:15 ?        00:00:00 [kworker/R-ipv6_]
root          63       2  0 06:15 ?        00:00:00 [kworker/R-kstrp]
root          65       2  0 06:15 ?        00:00:00 [kworker/u3:0-ttm]
root          78       2  0 06:15 ?        00:00:00 [kworker/R-charg]
root         127       2  0 06:15 ?        00:00:00 [scsi_eh_2]
root         129       2  0 06:15 ?        00:00:00 [kworker/R-scsi_]
root         175       2  0 06:15 ?        00:00:11 [jbd2/sda2-8]
root         176       2  0 06:15 ?        00:00:00 [kworker/R-ext4-]
root         247       1  0 06:15 ?        00:00:03 /usr/lib/systemd/systemd-journald
root         303       1  0 06:15 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     354       1  0 06:15 ?        00:00:17 /usr/lib/systemd/systemd-oomd
root         356       2  0 06:15 ?        00:00:00 [psimon]
systemd+     365       1  0 06:15 ?        00:00:02 /usr/lib/systemd/systemd-resolved
systemd+     379       1  0 06:15 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         499       2  0 06:15 ?        00:00:00 [irq/18-vmwgfx]
root         502       2  0 06:15 ?        00:00:00 [kworker/R-ttm]
root         504       2  0 06:15 ?        00:00:00 [kworker/R-crypt]
avahi        824       1  0 06:15 ?        00:00:00 avahi-daemon: running [koflaherty-VirtualBox.local]
message+     825       1  0 06:15 ?        00:00:06 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     828       1  0 06:15 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      836       1  0 06:15 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         842       1  0 06:15 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         856       1  0 06:15 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         861       1  0 06:15 ?        00:00:01 /usr/libexec/accounts-daemon
root         865       1  0 06:15 ?        00:00:00 /usr/sbin/cron -f -P
root         867       1  0 06:15 ?        00:00:00 /usr/libexec/switcheroo-control
root         870       1  0 06:15 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog       882       1  0 06:15 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi        899     824  0 06:15 ?        00:00:00 avahi-daemon: chroot helper
root         915       1  0 06:15 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         969       1  0 06:15 ?        00:00:00 /usr/sbin/ModemManager
root        1099       1  0 06:15 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
